;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
98;ANN;historical;1985-2014;CNRM;NCC-NorESM1-M;ALADIN63;r1i1p1;v1;3.3026022304832736;1160.4801372829202;0.3101475371747142;1.7499280810136768;False
99;ANN;historical;1985-2014;DMI;CNRM-CERFACS-CNRM-CM5;HIRHAM5;r1i1p1;v2;0.33826672862454643;1318.7292314816586;0.4101417286245237;1.9943389734031942;False
100;ANN;historical;1985-2014;DMI;ICHEC-EC-EARTH;HIRHAM5;r12i1p1;v1;0.21953996282530852;1385.7933193112838;0.3254530669145197;-0.8750525274567018;False
101;ANN;historical;1985-2014;DMI;ICHEC-EC-EARTH;HIRHAM5;r1i1p1;v1;0.672084107806711;1465.220783218797;0.361524163568788;0.3621681896080819;False
102;ANN;historical;1985-2014;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.6264869888476028;1414.4121563927613;0.3518819702601945;1.8546035622512722;True
103;ANN;historical;1985-2014;DMI;IPSL-IPSL-CM5A-MR;HIRHAM5;r1i1p1;v1;-0.8818192379181937;1279.785547377784;0.09229786245350624;-1.0919728763124517;False
104;ANN;historical;1985-2014;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;1.6197200278810442;1380.3169985990764;0.5374361059479611;-3.870481696231075;False
105;ANN;historical;1985-2014;DMI;MPI-M-MPI-ESM-LR;HIRHAM5;r1i1p1;v1;1.3754704925650572;1499.5702927994462;-0.04658457249070125;0.8173167611491139;False
106;ANN;historical;1985-2014;DMI;NCC-NorESM1-M;HIRHAM5;r1i1p1;v3;0.8107922862453734;1535.4600073375002;0.29147304832713417;1.104209074980488;False
107;ANN;historical;1985-2014;GERICS;CCCma-CanESM2;REMO2015;r1i1p1;v1;2.0831552044609793;1316.5417842622362;0.43395678438662344;2.5469942120382663;False
108;ANN;historical;1985-2014;GERICS;CNRM-CERFACS-CNRM-CM5;REMO2015;r1i1p1;v1;0.80175999070633;1103.2721811981671;0.35940404275089577;0.9441848227470476;False
109;ANN;historical;1985-2014;GERICS;CNRM-CERFACS-CNRM-CM5;REMO2015;r1i1p1;v2;1.151173327137542;1170.5417826494763;0.444150789962805;2.3697678733968113;False
110;ANN;historical;1985-2014;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;1.6081900557621225;1251.7867474058526;0.6992332713754763;-2.0408273193994373;False
111;ANN;historical;1985-2014;GERICS;IPSL-IPSL-CM5A-LR;REMO2015;r1i1p1;v1;-3.7302451208178127;996.9892985260176;0.20544842007433317;-0.402466886036636;False
112;ANN;historical;1985-2014;GERICS;IPSL-IPSL-CM5A-MR;REMO2015;r1i1p1;v1;-0.4053148234200421;1133.9541303042363;0.04556807620821246;-0.2985361669981186;False
113;ANN;historical;1985-2014;GERICS;MIROC-MIROC5;REMO2015;r1i1p1;v1;1.0246050185874083;1169.4310694766752;0.6099268122677017;4.762075347781942;False
114;ANN;historical;1985-2014;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;2.458561802973975;1276.3511427079213;0.4728740706319172;-1.0982869781111366;False
115;ANN;historical;1985-2014;GERICS;MPI-M-MPI-ESM-LR;REMO2015;r3i1p1;v1;1.3942611524163908;1196.3599093756932;0.15651138475840298;-0.5957412273100853;False
116;ANN;historical;1985-2014;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.3027764869888756;1344.8311003001206;0.9892251394052209;0.37300628945588005;False
117;ANN;historical;1985-2014;GERICS;NOAA-GFDL-GFDL-ESM2G;REMO2015;r1i1p1;v1;-1.2874302973977478;1245.0570230424182;0.4256215148698743;0.8111169950100527;False
118;ANN;historical;1985-2014;ICTP;CNRM-CERFACS-CNRM-CM5;RegCM4-6;r1i1p1;v2;6.56395794609665;885.2953219530086;0.40636617100369676;2.1957623209879764;False
119;ANN;historical;1985-2014;ICTP;ICHEC-EC-EARTH;RegCM4-6;r12i1p1;v1;6.032417518587408;828.0399480523008;0.2569412174721606;-2.4799170302811113;False
120;ANN;historical;1985-2014;ICTP;MOHC-HadGEM2-ES;RegCM4-6;r1i1p1;v1;7.344598048327157;860.7855554711641;0.4291647304832509;1.4291826765213418;False
121;ANN;historical;1985-2014;ICTP;MPI-M-MPI-ESM-LR;RegCM4-6;r1i1p1;v1;6.989143819702633;948.6365649419868;0.025819005576238396;0.5051205427339974;False
122;ANN;historical;1985-2014;ICTP;NCC-NorESM1-M;RegCM4-6;r1i1p1;v1;6.840357806691486;1000.3765038952065;0.2558666356877666;1.9783032848909436;False
123;ANN;historical;1985-2014;IPSL;CNRM-CERFACS-CNRM-CM5;WRF381P;r1i1p1;v2;0.8213928903346073;908.0089474546976;0.46694934944241595;2.4692664829118547;False
124;ANN;historical;1985-2014;IPSL;ICHEC-EC-EARTH;WRF381P;r12i1p1;v1;0.984584107806711;1040.3165084223322;0.3687558085501905;0.010503449227690278;False
125;ANN;historical;1985-2014;IPSL;IPSL-IPSL-CM5A-MR;WRF381P;r1i1p1;v1;-1.8324175185873628;897.8620811285915;0.2197955390334414;0.3210444819682354;False
126;ANN;historical;1985-2014;IPSL;MOHC-HadGEM2-ES;WRF381P;r1i1p1;v1;1.0932620817844168;1001.0089963757638;0.6388533921933117;0.8364707912645526;False
127;ANN;historical;1985-2014;IPSL;MPI-M-MPI-ESM-LR;WRF381P;r1i1p1;v1;1.8060292750929534;1114.5605713516807;-0.055878252788090776;0.9353715498434338;False
128;ANN;historical;1985-2014;IPSL;NCC-NorESM1-M;WRF381P;r1i1p1;v1;0.8574930297397714;1110.629153675417;0.3498199349442075;0.9725627078507479;False
129;ANN;historical;1985-2014;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-0.384491171003674;1062.215017297454;1.4087186338290394;5.650256689566355;False
130;ANN;historical;1985-2014;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;-0.7858039033457089;1115.9176605036932;0.831261617100381;-1.164403127396209;False
131;ANN;historical;1985-2014;KNMI;ICHEC-EC-EARTH;RACMO22E;r1i1p1;v1;-0.3790311338289598;1147.791064178855;0.9150209107806972;-0.5923375940105697;True
132;ANN;historical;1985-2014;KNMI;ICHEC-EC-EARTH;RACMO22E;r3i1p1;v1;-0.8609374999999773;1132.941202719637;0.3640218401487232;1.8039804439518938;False
133;ANN;historical;1985-2014;KNMI;IPSL-IPSL-CM5A-MR;RACMO22E;r1i1p1;v1;-2.4812616171003583;1029.8910351130821;0.07405901486987432;-0.4183033823561814;False
