;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
136;ANN;rcp85;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;4.338905669144992;1268.361896265395;4.638824349442359;12.296816506573025;True
137;ANN;rcp85;2071-2100;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;4.509386617100404;1377.6253273689836;3.4915195167286583;18.16109505095684;True
138;ANN;rcp85;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;6.4795016263940965;1090.9341528928635;4.1088812732342035;13.097053203805368;False
139;ANN;rcp85;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;5.017867100371745;1543.9754385764272;4.743262081784337;11.184710549381037;True
140;ANN;rcp85;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;6.927079460966581;1674.9091393442402;5.844795539033498;16.64582043918454;False
141;ANN;rcp85;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;5.773094795539066;1466.9280431084474;4.86413801115242;14.795158027252986;False
142;ANN;rcp85;2071-2100;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;7.772572026022317;1499.6130125368616;5.786884293680259;16.201796548828714;False
143;ANN;rcp85;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;5.337860130111551;1532.4048359376347;4.024308782527896;14.372786442279024;False
144;ANN;rcp85;2071-2100;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;2.8458178438662003;1132.147555219418;4.639027648698914;12.605901697491678;False
145;ANN;rcp85;2071-2100;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;3.47192146840149;1299.1544141035984;5.08898698884758;15.064674117308725;False
146;ANN;rcp85;2071-2100;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;5.552457016728624;1366.4862924099634;6.158137778810385;19.408799411119414;False
147;ANN;rcp85;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;5.169237918215629;1357.609109123511;3.25952602230484;9.157389806965304;True
148;ANN;rcp85;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;5.023966078066962;1295.1700064717172;3.2229902416357277;0.32362804643248644;False
